Generation No.	Best Distance	Average Distance
0	14805.4210473	19774.0509772
1	12557.0477927	16810.5872149
2	11320.1141178	15209.9602973
3	11000.5210401	13689.6414113
4	9597.13850293	12243.2028988
5	9010.85281627	11466.5910002
6	8431.41742172	10545.1367937
7	7616.39600844	9682.82562027
8	6717.87316799	8699.90439905
9	6598.43491578	8032.37286602
10	6234.80335996	6794.45807644
11	6162.89742753	6419.7087514
12	6064.23398009	6260.63480972
13	5961.56034043	6190.62311154
14	5955.86155343	6071.51910063
15	5955.86155343	5961.02842077
16	5955.86155343	5955.86155343
17	5955.86155343	5955.86155343
18	5955.86155343	5955.86155343
19	5955.86155343	5955.86155343
20	5955.86155343	5955.86155343
21	5955.86155343	5955.86155343
22	5955.86155343	5955.86155343
23	5955.86155343	5955.86155343
24	5955.86155343	5955.86155343
25	5955.86155343	5955.86155343
26	5955.86155343	5955.86155343
27	5955.86155343	5955.86155343
28	5955.86155343	5955.86155343
29	5955.86155343	5955.86155343
30	5955.86155343	5955.86155343
31	5955.86155343	5955.86155343
32	5955.86155343	5955.86155343
33	5955.86155343	5955.86155343
34	5955.86155343	5955.86155343
35	5955.86155343	5955.86155343
36	5955.86155343	5955.86155343
37	5955.86155343	5955.86155343
38	5955.86155343	5955.86155343
39	5955.86155343	5955.86155343
40	5955.86155343	5955.86155343
41	5955.86155343	5955.86155343
42	5955.86155343	5955.86155343
43	5955.86155343	5955.86155343
44	5955.86155343	5955.86155343
45	5955.86155343	5955.86155343
46	5955.86155343	5955.86155343
47	5955.86155343	5955.86155343
48	5955.86155343	5955.86155343
49	5955.86155343	5955.86155343
50	5955.86155343	5955.86155343
51	5955.86155343	5955.86155343
52	5955.86155343	5955.86155343
53	5955.86155343	5955.86155343
54	5955.86155343	5955.86155343
55	5955.86155343	5955.86155343
56	5955.86155343	5955.86155343
57	5955.86155343	5955.86155343
58	5955.86155343	5955.86155343
59	5955.86155343	5955.86155343
60	5955.86155343	5955.86155343
61	5955.86155343	5955.86155343
62	5955.86155343	5955.86155343
63	5955.86155343	5955.86155343
64	5955.86155343	5955.86155343
65	5955.86155343	5955.86155343
66	5955.86155343	5955.86155343
67	5955.86155343	5955.86155343
68	5955.86155343	5955.86155343
69	5955.86155343	5955.86155343
70	5955.86155343	5955.86155343
71	5955.86155343	5955.86155343
72	5955.86155343	5955.86155343
73	5955.86155343	5955.86155343
74	5955.86155343	5955.86155343
75	5955.86155343	5955.86155343
76	5955.86155343	5955.86155343
77	5955.86155343	5955.86155343
78	5955.86155343	5955.86155343
79	5955.86155343	5955.86155343
80	5955.86155343	5955.86155343
81	5955.86155343	5955.86155343
82	5955.86155343	5955.86155343
83	5955.86155343	5955.86155343
84	5955.86155343	5955.86155343
85	5955.86155343	5955.86155343
86	5955.86155343	5955.86155343
87	5955.86155343	5955.86155343
88	5955.86155343	5955.86155343
89	5955.86155343	5955.86155343
90	5955.86155343	5955.86155343
91	5955.86155343	5955.86155343
92	5955.86155343	5955.86155343
93	5955.86155343	5955.86155343
94	5955.86155343	5955.86155343
95	5955.86155343	5955.86155343
96	5955.86155343	5955.86155343
97	5955.86155343	5955.86155343
98	5955.86155343	5955.86155343
99	5955.86155343	5955.86155343
100	5955.86155343	5955.86155343
101	5955.86155343	5955.86155343
102	5955.86155343	5955.86155343
103	5955.86155343	5955.86155343
104	5955.86155343	5955.86155343
105	5955.86155343	5955.86155343
106	5955.86155343	5955.86155343
107	5955.86155343	5955.86155343
108	5955.86155343	5955.86155343
109	5955.86155343	5955.86155343
110	5955.86155343	5955.86155343
111	5955.86155343	5955.86155343
112	5955.86155343	5955.86155343
113	5955.86155343	5955.86155343
114	5955.86155343	5955.86155343
115	5955.86155343	5955.86155343
116	5955.86155343	5955.86155343
117	5955.86155343	5955.86155343
118	5955.86155343	5955.86155343
119	5955.86155343	5955.86155343
120	5955.86155343	5955.86155343
121	5955.86155343	5955.86155343
122	5955.86155343	5955.86155343
123	5955.86155343	5955.86155343
124	5955.86155343	5955.86155343
125	5955.86155343	5955.86155343
126	5955.86155343	5955.86155343
127	5955.86155343	5955.86155343
128	5955.86155343	5955.86155343
129	5955.86155343	5955.86155343
130	5955.86155343	5955.86155343
131	5955.86155343	5955.86155343
132	5955.86155343	5955.86155343
133	5955.86155343	5955.86155343
134	5955.86155343	5955.86155343
135	5955.86155343	5955.86155343
136	5955.86155343	5955.86155343
137	5955.86155343	5955.86155343
138	5955.86155343	5955.86155343
139	5955.86155343	5955.86155343
140	5955.86155343	5955.86155343
141	5955.86155343	5955.86155343
142	5955.86155343	5955.86155343
143	5955.86155343	5955.86155343
144	5955.86155343	5955.86155343
145	5955.86155343	5955.86155343
146	5955.86155343	5955.86155343
147	5955.86155343	5955.86155343
148	5955.86155343	5955.86155343
149	5955.86155343	5955.86155343
Best Order: [2, 17, 48, 44, 18, 40, 7, 8, 9, 42, 5, 3, 14, 33, 34, 35, 39, 23, 24, 11, 27, 26, 12, 25, 46, 49, 45, 47, 37, 4, 31, 21, 30, 20, 43, 36, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Best Distance: 5955.86155343
Mutation Rate: 0.00%	Cross over rate: 90.00%
