Generation No.	Best Distance	Average Distance
0	22883.8748082	27624.1765062
1	21800.6445214	27091.9107037
2	21892.7054016	26596.2000111
3	20458.9610833	26306.697053
4	19630.9170042	25919.9713865
5	19269.7548586	25085.1450393
6	17961.402979	23298.3004779
7	16959.4496741	22516.0662659
8	16764.5031714	22008.6896309
9	16849.9515627	22068.6008358
10	16599.2954335	21841.0409823
11	15397.4547751	21687.5425494
12	16064.3972138	21240.57269
13	15943.8598022	21238.2311543
14	15844.2302227	20530.9141253
15	15436.8186562	20549.1255894
16	15078.7299192	20196.9761857
17	14694.3835061	20142.6637545
18	14014.8384526	19546.8328644
19	13948.8039435	19232.6983909
20	13752.3675427	18822.930359
21	13711.9219873	18339.5527466
22	13182.6805438	18190.6000166
23	12422.1130819	17760.0430506
24	12726.4368654	17703.6218622
25	12807.4635799	17730.5057961
26	12773.5086078	17537.0398249
27	12450.7868279	17263.8086764
28	12160.2146212	17297.6730305
29	12044.1001092	17370.7995082
30	11780.8457657	17192.4762588
31	11881.5542935	16942.2794093
32	11881.5542935	17055.9128244
33	12113.1580806	17030.5687073
34	11958.8247167	17245.6496528
35	11978.141668	17334.6805106
36	11760.8708955	17277.1080498
37	11759.3180589	17357.2426118
38	11865.359394	17154.2633523
39	11764.811689	17372.4748774
40	11274.3897277	17310.3927784
41	11401.8136578	16655.3884491
42	11766.4688103	16602.6236243
43	11554.1259383	16875.1863806
44	11311.7942079	16857.8627518
45	11325.9867496	16507.6962033
46	11351.9360301	16470.3721271
47	11126.9926287	16577.9759574
48	11115.462737	16372.1186209
49	10970.9010377	16458.3496095
50	10870.0480944	16602.4097925
51	11017.6165755	16873.949515
52	11071.6440852	16640.0235405
53	10881.4880112	16449.131476
54	10901.2837557	16478.1816496
55	10920.2297554	16672.0924693
56	10688.1772642	16158.300222
57	10574.8439895	16147.2123297
58	10672.2841028	15985.3990882
59	10714.6885067	15843.8223633
60	10772.363278	15529.8002979
61	10701.9923651	15820.9726506
62	10482.8111562	15645.3145237
63	10557.5158613	15727.8841483
64	10540.0041875	15743.3644917
65	10540.0041875	15706.9804341
66	10495.1340766	15726.7443355
67	10557.5158613	15574.6347835
68	10565.7267602	15675.2643361
69	10597.436519	15686.816897
70	10491.4916905	15925.8451266
71	10649.67304	16011.0630152
72	10656.4163323	16147.9625684
73	10674.3947433	16030.7515902
74	10733.2132414	16166.4924754
75	10546.6128565	15899.33534
76	10410.2571352	15643.2682412
77	10677.243222	15833.4933541
78	10520.5886557	15768.518616
79	10572.6385039	15900.5130498
80	10490.5890707	16034.7571644
81	10400.6644741	15834.9102629
82	10400.6644741	15899.2768408
83	10474.901719	15475.9613798
84	10409.7118174	15827.6715475
85	10340.3682336	15837.2092767
86	10281.9961253	16296.8423602
87	10132.4595499	16268.1890634
88	10132.4595499	15675.8473712
89	10132.4595499	15581.1340365
90	10108.4201425	15295.1230507
91	10155.2667186	15250.3376569
92	10149.9839751	15369.2271276
93	10092.0181735	15518.9621481
94	10113.7677016	15333.2725593
95	10056.3337694	15395.6927161
96	10056.3337694	15442.050942
97	10056.3337694	15538.2504296
98	9993.53278176	15549.5709826
99	9951.51362702	15357.1158382
100	10168.6281594	15415.3386256
101	10136.8221122	15618.9806077
102	10244.0773915	15648.1916295
103	10228.2881581	15668.6646206
104	10176.0088334	15914.3431064
105	10089.612966	16078.4852354
106	10121.3827265	15624.5803406
107	10099.7533794	15488.395089
108	10121.5373082	15554.7240509
109	10056.7868781	15829.3615448
110	10199.226179	15781.7130716
111	10173.2883796	15818.1805185
112	10095.5510933	15613.713336
113	10135.0885696	15632.2686158
114	10090.1864099	15710.2442265
115	10087.283628	15618.3991108
116	10206.4207391	15928.6428301
117	10130.0020227	15738.0188873
118	10137.3909705	15656.6073057
119	10145.7775831	15452.2567648
120	10077.8585772	15462.2645883
121	10204.5056524	15272.6447417
122	10204.5056524	15201.3897499
123	10154.738889	15602.05988
124	10129.2535973	15384.8502047
125	10171.5698075	15328.4304003
126	10179.331667	15323.8761836
127	10218.1438336	15800.849765
128	10275.7990015	16225.7652613
129	10308.8288863	16178.4149179
130	10281.0655343	16145.2843281
131	10372.126702	16464.6746745
132	10323.8300745	15896.3861422
133	10342.7171053	15759.7343836
134	10391.6873269	15900.6012168
135	10303.0733627	15892.1741971
136	10386.2084068	15807.7216209
137	10386.2084068	16087.4439375
138	10515.4469863	16006.7004268
139	10506.1639989	15973.7409614
140	10165.043367	15931.5119307
141	10474.1746292	15741.2997519
142	10494.2743733	15666.8856309
143	10291.0921664	15607.1941231
144	10346.8433393	15756.8746359
145	10391.8266758	15589.0606814
146	10389.4435719	15498.0846378
147	10595.089112	15998.5479317
148	10683.803373	15885.4555843
149	10458.3571544	16049.385225
Best Order: [40, 7, 8, 9, 32, 50, 24, 5, 42, 41, 6, 1, 28, 46, 25, 12, 13, 51, 10, 26, 27, 11, 3, 14, 4, 39, 37, 23, 47, 45, 15, 49, 19, 22, 29, 20, 16, 2, 17, 30, 21, 18, 44, 31, 48, 33, 34, 43, 36, 38, 35, 0]
Best Distance: 9951.51362702
Mutation Rate: 10.00%	Cross over rate: 100.00%
