Generation No.	Best Distance	Average Distance
225	10352.4112848	15538.1729533
226	10174.7569249	15475.0283705
227	10346.8189388	15485.4811601
228	10252.3980159	15572.188718
229	10239.6874651	15744.1185161
230	10234.0314578	15679.8305742
231	10206.2316503	15555.4611681
232	10166.5110716	15792.3987632
233	10166.5110716	15782.3736434
234	10371.8779193	15412.6158105
235	10330.9047053	15693.9898572
236	10328.5973722	16309.2638261
237	10249.7344627	15746.9680157
238	10402.497893	15595.9731241
239	10325.960791	15878.6932872
240	10308.4077844	15834.019938
241	10258.6839498	15737.3365405
242	10262.9340048	15485.6245954
243	10204.1302252	15255.3684344
244	10174.5412825	15349.2258419
245	10202.9375289	15785.2461731
246	10268.4639787	15578.7256864
247	10290.2249892	15788.9263981
248	10303.0013399	16047.9179269
249	10303.0013399	16157.2901848
250	10227.6803472	16336.3559431
251	10244.1405302	15651.1892773
252	10298.6033488	15744.4626502
253	10299.8320783	15422.0724507
254	10219.6373132	15442.0651183
255	10240.7207792	15312.3580148
256	10202.6191536	15348.0130083
257	10244.1405302	15356.1318048
258	10246.9632303	15643.05574
259	10233.5013314	15793.6065468
260	10276.1410928	15818.3332306
261	10317.575271	15632.850514
262	10305.9223101	15613.846653
263	10467.3800228	15651.5121296
264	10187.9331466	15502.6516013
265	10128.9526236	15534.9617717
266	10128.9526236	15510.7326478
267	10159.8470402	15106.6370419
268	10134.799362	15293.2347914
269	10130.7732211	15110.9156365
270	10040.3613136	15262.5539633
271	10039.7023724	15319.6878658
272	10109.4871459	15273.0783515
273	10109.4871459	15390.2271578
274	10118.398677	15450.2564558
275	10363.4783495	15566.759985
276	10265.5732262	15480.1378199
277	10120.2023929	15370.3431742
278	10120.2023929	15327.3004435
279	10119.8952373	15440.3526924
280	10138.6563007	15102.4345473
281	10123.1278788	15252.7843966
282	10134.8196264	15366.5855477
283	10109.3412961	15258.9561164
284	10096.1150702	15206.4917645
285	10084.9871539	15466.2001931
286	10083.2290276	15537.4771883
287	10111.9924454	15365.0655446
288	10111.9924454	15190.0636572
289	10081.8756533	15196.7507166
290	10294.2904753	15615.2042047
291	10174.9857205	15572.5728975
292	10177.1792947	15732.9116159
293	10184.2534237	15603.9675667
294	10184.2534237	15851.0612755
295	10200.9939477	15561.7319831
296	10123.3327363	15731.2269577
297	10147.4243219	15945.8837994
298	10204.1188516	15864.1020314
299	10034.0109054	15599.7646173
Best Order: [40, 7, 8, 9, 32, 50, 3, 5, 42, 1, 6, 41, 28, 46, 25, 12, 13, 51, 10, 26, 27, 11, 24, 14, 4, 37, 39, 23, 47, 45, 15, 49, 19, 22, 29, 20, 16, 30, 17, 2, 18, 44, 31, 38, 36, 43, 33, 34, 35, 48, 0, 21]
Best Distance: 9860.08145475
Mutation Rate: 10.00%	Cross over rate: 100.00%
