Generation No.	Best Distance	Average Distance
0	22990.4311418	27580.1836049
1	21898.9412709	26689.4049881
2	21025.6825107	25873.544275
3	20301.6829203	24599.6667952
4	19395.305971	24241.8454675
5	18915.0393423	23866.2774876
6	17799.5814506	23519.2128838
7	18176.9753896	23302.4049163
8	17792.744443	22658.6186565
9	17323.1823646	21945.5768481
10	17115.6012384	21807.5021103
11	16898.0906166	21372.0005794
12	16543.0826079	20982.8733354
13	16392.055562	20810.7550129
14	16327.8561404	21259.8540571
15	15894.8936204	21268.2327506
16	15546.0789698	21277.8532891
17	14939.4345338	20812.013608
18	14939.4345338	20142.0581212
19	14968.8228905	20153.0184493
20	14934.4131006	19603.469418
21	14864.825213	19520.6891808
22	14468.7550893	19448.1388005
23	14252.6074094	19545.6837095
24	14073.2812161	19611.1186328
25	13970.4559974	19588.8336112
26	14123.1368427	19176.0557235
27	13951.4391089	18817.077677
28	13929.3289698	18885.5461113
29	13949.6021562	18865.4542054
30	13916.0834537	18930.9337315
31	13669.6942348	18840.5643637
32	13669.6942348	18908.2800172
33	13562.3094529	18996.0448808
34	13267.7399632	19051.6240098
35	13267.7399632	18720.7564529
36	12894.0907162	18310.7196356
37	12951.137413	18444.8874884
38	12790.8130416	18368.9393405
39	12845.7863666	18318.3339694
40	13051.216815	17958.9929109
41	12923.1899266	18407.8955008
42	12571.6842639	18324.8686026
43	12571.6842639	18139.6732276
44	12587.122588	17691.3830458
45	12534.0798987	17914.8853024
46	12499.6866249	17947.1564711
47	12342.9178874	18002.771353
48	12298.7643244	18026.0016537
49	12189.1762321	17843.2822497
50	12226.2305521	17564.9572178
51	12103.0344771	17592.0733145
52	12048.7116548	17314.0944153
53	12188.0499322	17326.2802773
54	12079.8026697	17514.8176094
55	11854.8689028	17201.2497795
56	11891.6677083	16966.897046
57	11647.4882642	17029.5692027
58	11353.4690516	16821.6227173
59	11370.9855818	16383.3836258
60	11311.8300793	16605.6984229
61	11355.5373217	16555.3409816
62	11229.3285294	16520.6100803
63	11277.3218722	17052.2696227
64	11200.5694103	17237.0966656
65	11200.5694103	17124.3599773
66	10945.3566884	16768.7791996
67	11231.1844809	17093.0672295
68	11420.7347829	16987.7651429
69	11427.3744426	17010.1123053
70	11420.8881444	17111.5372063
71	11377.6993305	17224.6853777
72	11318.684775	17272.4486448
73	11574.3035594	17501.1876912
74	11926.0496783	17544.3374198
75	12087.5048444	17899.3871044
76	12106.8318571	17811.0773404
77	11880.4141822	17654.5195861
78	12052.3872218	17688.3622283
79	12052.3872218	17632.6274187
80	12088.7495315	17985.7135083
81	12318.5421854	17949.8863497
82	12236.1619171	18000.6014459
83	12186.5035212	17570.9426284
84	12207.0325899	17455.446644
85	11883.8309124	17097.8858475
86	11682.7912509	16747.1708238
87	11912.6231459	16871.6411061
88	11801.3789397	16660.4650184
89	11778.3679747	16537.746144
90	11298.5338173	16712.3417549
91	11200.4007291	16866.2572484
92	11384.8658802	16484.9462786
93	11223.3144292	16733.0765197
94	11252.4469585	16537.7198001
95	11380.2189472	16387.7358591
96	11431.9655346	16335.8358465
97	11431.9655346	16819.7700416
98	11525.7109261	16853.9179776
99	11531.6018095	16535.5233599
100	11187.3268034	16433.3941352
101	11160.8184149	16697.199873
102	11167.3532885	16402.6739256
103	11131.0317005	16616.2789681
104	10956.5501261	16573.3329758
105	10956.5501261	16505.4063906
106	10956.5501261	16343.8570552
107	10760.1593472	16108.3435535
108	10884.4339076	16503.3619766
109	10813.275384	16191.0189429
110	10961.8640865	16079.5213068
111	10958.8120409	16217.5443365
112	10917.1529165	16523.4778817
113	11078.5877897	16770.4436794
114	11227.9940586	16361.8852051
115	11082.9847267	16473.060789
116	10964.5896683	16527.0087909
117	11034.3124947	16446.6643834
118	11073.115663	16309.0923489
119	10822.8559482	16609.2400867
120	10822.8559482	16594.5925637
121	10825.3650785	16015.5326504
122	10829.9497416	16007.0588468
123	10783.7770955	16171.4441921
124	10748.9890431	16119.5668568
125	10759.7184277	15788.9597511
126	10756.2208589	16324.7424813
127	10756.2208589	16667.3004655
128	10755.1754007	16087.2751631
129	10693.0351924	16471.4767078
130	10608.2031362	16082.2723647
131	10581.1262634	15882.6495465
132	10540.6257511	16003.9623076
133	10540.6257511	16298.5162519
134	10647.6857479	16396.0223607
135	10929.4714613	16269.863824
136	10989.5358811	16410.8008275
137	10837.038399	16586.7512453
138	10728.4715163	16368.7606977
139	10691.2402963	16413.680429
140	10714.815369	16418.9186856
141	10777.6763367	16197.96701
142	10627.5735871	15864.7611831
143	10562.8445048	15770.6203667
144	10556.9631314	16212.1351003
145	10464.3403062	16072.17852
146	10503.3604653	15934.6072555
147	10393.0165265	15937.4354039
148	10393.0165265	16114.5760574
149	10473.909096	16290.4416535
Best Order: [46, 25, 27, 11, 24, 47, 29, 6, 1, 41, 20, 50, 10, 51, 13, 12, 26, 32, 42, 38, 36, 39, 17, 16, 2, 44, 18, 40, 7, 8, 9, 14, 4, 3, 5, 37, 23, 45, 15, 28, 49, 19, 22, 30, 21, 48, 35, 34, 33, 43, 0, 31]
Best Distance: 10393.0165265
Mutation Rate: 10.00%	Cross over rate: 90.00%
