Generation No.	Best Distance	Average Distance
0	14495.8384056	19715.4783606
1	12270.2611801	17344.3563926
2	12270.2611801	15957.5447969
3	11141.5734897	14865.1910235
4	10722.4932448	13989.6508467
5	10319.9372171	12499.8817237
6	10132.9038147	11926.3302984
7	9860.68197437	11624.1082604
8	9497.00992687	11410.6797376
9	9338.82021947	11247.0674424
10	9050.87437309	10915.3759091
11	8915.4741241	10880.946154
12	8913.43632698	10867.055098
13	8762.63801259	10309.0179822
14	8681.65390374	10355.178656
15	8589.7430351	10454.5942169
16	8472.8816945	10408.3266654
17	8062.90803573	10015.0722304
18	8036.72198756	9797.56593238
19	7790.82794781	9437.53338371
20	7762.68991135	9563.1631086
21	7741.2406666	9421.73774986
22	7551.76543603	9225.86433806
23	7551.76543603	9422.34955385
24	7516.92046288	9104.942734
25	7485.82521653	9106.70598448
26	7451.36571847	8837.04665858
27	7436.28839756	8884.05728725
28	7436.28839756	8841.02660711
29	7398.28759341	8821.41654959
30	7328.28179963	8833.1397133
31	7303.05959967	8899.55736816
32	7261.47351708	8889.59420326
33	7203.10302075	8707.13190805
34	7198.01845947	8816.76323963
35	7170.08291977	8686.78509098
36	7163.87951657	8702.99113232
37	7158.7949553	8567.87992607
38	7145.31688627	8563.06584347
39	7145.31688627	8621.29997403
40	7119.98718127	8627.94837139
41	7119.98718127	8560.47310639
42	7100.13003732	8602.65771828
43	7100.13003732	8455.59339656
44	7100.13003732	8533.44066218
45	7100.13003732	8502.27543004
46	7100.13003732	8522.65889185
47	7100.13003732	8586.90324383
48	7100.13003732	8494.5151479
49	7100.13003732	8538.39705919
50	7100.13003732	8582.25089418
51	7100.13003732	8498.66626645
52	7100.13003732	8511.41917592
53	7100.13003732	8554.16268483
54	7100.13003732	8608.08997182
55	7100.13003732	8533.11558428
56	7100.13003732	8528.51433104
57	7100.13003732	8527.02359933
58	7100.13003732	8485.96023877
59	7100.13003732	8527.36049649
60	7100.13003732	8447.06915688
61	7100.13003732	8492.08104946
62	7100.13003732	8480.70457082
63	7100.13003732	8437.55242184
64	7100.13003732	8593.27571968
65	7100.13003732	8544.19229562
66	7100.13003732	8536.14514937
67	7100.13003732	8558.95025434
68	7100.13003732	8517.63854036
69	7100.13003732	8536.22334834
70	7100.13003732	8535.21306405
71	7100.13003732	8445.3917537
72	7100.13003732	8576.08835943
73	7100.13003732	8487.35505017
74	7100.13003732	8499.76016209
75	7100.13003732	8496.5107249
76	7100.13003732	8491.1139665
77	7100.13003732	8459.43315833
78	7100.13003732	8567.64203133
79	7100.13003732	8547.94338274
80	7100.13003732	8499.19478051
81	7100.13003732	8472.50516786
82	7100.13003732	8521.07281081
83	7100.13003732	8555.94773849
84	7100.13003732	8530.44687814
85	7100.13003732	8515.50423969
86	7095.75785554	8534.5036874
87	7095.75785554	8560.15329618
88	7047.21524308	8586.48041469
89	7047.21524308	8528.58030038
90	7047.21524308	8406.98476069
91	7047.21524308	8392.3626108
92	7047.21524308	8406.55373632
93	7047.21524308	8417.14634385
94	7047.21524308	8489.14693101
95	7047.21524308	8451.97207229
96	6936.07147253	8549.10725501
97	6936.07147253	8662.44833582
98	6869.41665496	8424.33212174
99	6936.07147253	8489.94945858
100	6936.07147253	8334.58056158
101	6930.99285033	8358.38283114
102	6916.66653696	8352.00176255
103	6916.66653696	8423.35761733
104	6916.66653696	8384.55168496
105	6861.44734133	8369.79365972
106	6861.44734133	8444.25610514
107	6752.83312734	8337.19497022
108	6676.74520679	8308.3896748
109	6676.74520679	8171.10185389
110	6676.74520679	8092.02972112
111	6676.74520679	8156.63708677
112	6676.74520679	8098.6156855
113	6676.74520679	8244.83258835
114	6676.74520679	8127.53618539
115	6676.74520679	8182.40709489
116	6676.74520679	8089.08607638
117	6676.74520679	8096.25318655
118	6676.74520679	8132.7230344
119	6676.74520679	8160.05185319
120	6676.74520679	8197.5235038
121	6676.74520679	8045.37500626
122	6676.74520679	8147.97311262
123	6676.74520679	8092.81613817
124	6676.74520679	8177.59536616
125	6676.74520679	8092.14007974
126	6676.74520679	8120.78772627
127	6676.74520679	8080.40194873
128	6676.74520679	8080.60822688
129	6676.74520679	8141.23272356
130	6676.74520679	8152.88438441
131	6676.74520679	8163.66089242
132	6676.74520679	8146.0418816
133	6676.74520679	8180.28692642
134	6676.74520679	8073.34903607
135	6676.74520679	8113.53374156
136	6676.74520679	8176.48753216
137	6676.74520679	8150.19729571
138	6676.74520679	8192.30211424
139	6676.74520679	8092.60868677
140	6676.74520679	8165.07401691
141	6676.74520679	8202.37703544
142	6676.74520679	8141.36721078
143	6676.74520679	8121.13931245
144	6676.74520679	8160.05219382
145	6676.74520679	8184.2773877
146	6676.74520679	8150.9667294
147	6676.74520679	8117.15583424
148	6676.74520679	8102.78792603
149	6676.74520679	8187.50969305
Best Order: [13, 46, 26, 50, 11, 24, 43, 22, 29, 1, 20, 16, 40, 7, 8, 9, 34, 33, 36, 47, 45, 15, 49, 19, 21, 30, 17, 18, 44, 38, 39, 37, 23, 4, 5, 14, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Best Distance: 6676.74520679
Mutation Rate: 5.00%	Cross over rate: 95.00%
