Generation No.	Best Distance	Average Distance
0	23282.7035739	28732.9556898
1	23218.4346383	28638.437437
2	23137.7326919	28672.1758096
3	23406.9703135	28703.3452787
4	23848.3138118	28708.6286167
5	22550.9250168	28767.2658453
6	22945.3883188	28660.4242837
7	22702.6433749	28765.6310889
8	22698.928034	28807.0320039
9	22790.8772643	28784.0479398
10	22928.7692096	28786.0108635
11	22767.0438519	28696.1888452
12	23219.4119213	28619.5647793
13	21212.6230075	28534.3123039
14	22874.3693808	28443.398926
15	22874.0229266	28337.9679582
16	22633.6836173	28283.9449716
17	22072.2689794	28295.6172811
18	21726.8148471	28294.4287742
19	22495.1472154	28329.1555431
20	21915.5113786	28437.3021397
21	21762.9303336	28349.5193239
22	20887.7691951	28423.3784365
23	21913.3483937	28330.4466857
24	21785.7873413	28283.490519
25	21566.8852517	28265.2003057
26	22320.7912006	28223.0658046
27	23005.1910043	28253.79567
28	23008.1190388	28421.0782804
29	23029.9579534	28402.6977838
30	23005.1742053	28314.670092
31	22679.5860015	28355.1748114
32	22280.7957865	28246.2903494
33	21140.9621338	28313.3292199
34	22758.0707786	28222.7058958
35	21815.0595276	28328.3566508
36	23136.0534846	28367.5302239
37	22908.0264438	28383.8742466
38	22472.6979888	28457.2863415
39	22674.0149513	28308.6753602
40	21669.3208165	28151.5455704
41	20903.5704559	28241.7191739
42	21379.8392654	28262.1159516
43	22374.4855817	28109.4172825
44	21606.4141436	28254.2302837
45	20254.3309274	28400.7761089
46	21526.4527232	28300.1589491
47	22120.0976814	28140.7358184
48	21501.1598602	27919.4658588
49	20897.084305	27937.8441567
50	22500.1162422	28146.2021698
51	21303.5153133	28113.4075783
52	21576.1537401	28168.8474661
53	20965.9173286	28213.6869372
54	21491.7876562	28218.8337879
55	22005.3497488	28154.5304301
56	22296.9483508	28038.1710575
57	21701.7124601	27942.4671942
58	22066.7398792	28089.7321401
59	21454.6770372	28083.1652983
60	21856.9572163	28200.9014808
61	22758.4242932	28185.6613365
62	22353.136911	28264.7061917
63	22722.0451112	28272.4557582
64	21317.4778172	28363.9209252
65	21132.9497668	28353.8956438
66	23390.6331299	28327.3163385
67	22757.1542115	28368.7768448
68	23127.771083	28328.6892043
69	21226.4336151	28304.3263251
70	22361.345727	28279.7584014
71	22180.8906274	28360.8139533
72	22252.3719396	28333.4812461
73	22882.3213754	28441.8785299
74	21376.4943809	28288.0518731
75	21906.871594	28218.0970351
76	21434.5270611	28251.0651464
77	22520.1058847	28385.7736295
78	22751.1561452	28417.1118004
79	22787.4044849	28322.7758297
80	22207.5121116	28535.0145658
81	22109.3665607	28483.6103978
82	22329.7100276	28302.6351333
83	22663.7481485	28450.8668158
84	22019.8515727	28450.0977405
85	22888.7005102	28437.9039517
86	22004.8846413	28303.9248254
87	21993.5139084	28316.7638449
88	21436.621138	28297.4558693
89	22277.6378272	28410.6440732
90	22686.1067117	28369.8360126
91	22510.4809386	28460.6279022
92	22930.0301751	28442.0647993
93	22256.0204553	28328.3433856
94	21480.3123489	28363.3082131
95	21917.4884378	28223.2906136
96	21276.727682	28047.1380974
97	22298.27855	28115.0211627
98	20799.2309568	28082.0503051
99	21043.4086757	28108.6893868
100	21956.9787178	28008.5247157
101	20914.3601617	28105.5649886
102	21144.230702	27874.7430403
103	21412.2264926	27970.7630153
104	20597.1586359	28096.768268
105	20595.6752857	28054.6203127
106	21906.1822195	28053.4301229
107	22632.1540569	28091.3640832
108	22032.9722588	28368.7131122
109	22321.2768753	28320.9876523
110	21616.9237141	28026.3968665
111	21559.4504423	28075.5423659
112	21079.4470684	27954.1165201
113	22609.887377	27945.4203049
114	22542.017973	27927.9738709
115	22763.0030113	28014.1856505
116	20587.4105717	28013.5941259
117	22483.3591222	28022.4593479
118	22322.1296845	27984.7145178
119	21178.2974477	28183.8970463
120	21774.5222008	28087.1492087
121	22458.3783384	28160.3771433
122	22755.3860576	28342.482514
123	23109.1424582	28462.5801854
124	22585.412031	28606.5160168
125	21606.8279282	28375.6742989
126	22638.5191691	28480.4015934
127	21636.1436279	28411.2112785
128	21754.8713131	28390.8862099
129	21435.8547972	28323.8306177
130	23753.6927052	28370.3178194
131	23505.318322	28541.2711066
132	22062.2912245	28511.2485465
133	21471.0146303	28442.9999899
134	22485.0225032	28428.7692845
135	22250.1080973	28311.8043656
136	22837.4632119	28256.0672649
137	20260.5584321	28353.6787926
138	22482.438405	28210.7525558
139	22642.3393836	28116.7067241
140	22182.03281	28261.7319581
141	22744.1563661	28194.0261575
142	22511.3636048	28350.7659276
143	22774.4176261	28256.7336744
144	22363.4351578	28392.2056972
145	22828.6937375	28216.1427871
146	21056.213107	28092.0679436
147	21683.5201445	28095.1873903
148	20969.2740584	28121.7689673
149	22256.1646223	28178.589588
Best Order: [10, 25, 26, 13, 12, 32, 51, 42, 38, 4, 39, 37, 1, 20, 48, 40, 15, 49, 23, 22, 44, 34, 50, 24, 45, 18, 9, 7, 8, 30, 19, 6, 16, 17, 47, 31, 43, 14, 36, 28, 5, 33, 46, 11, 3, 0, 21, 2, 41, 29, 35, 27]
Best Distance: 20254.3309274
Mutation Rate: 50.00%	Cross over rate: 50.00%
