Generation No.	Best Distance	Average Distance
0	22361.3046054	26965.7626173
1	21472.9144056	25652.6517471
2	20179.2296461	24212.8696108
3	19301.7219475	23345.182643
4	18370.4318847	21705.6480898
5	17241.4804595	20557.3873926
6	16064.8246436	18691.3378537
7	15077.318667	16945.6575749
8	14723.9326124	15636.4540439
9	14562.1996204	15055.5930769
10	14328.3403735	14644.0470692
11	14268.3138949	14395.5706489
12	14259.8803439	14441.8178402
13	14259.8803439	14260.2809933
14	14259.8803439	14259.8803439
15	14259.8803439	14259.8803439
16	14259.8803439	14259.8803439
17	14259.8803439	14259.8803439
18	14259.8803439	14259.8803439
19	14259.8803439	14259.8803439
20	14259.8803439	14259.8803439
21	14259.8803439	14259.8803439
22	14259.8803439	14259.8803439
23	14259.8803439	14259.8803439
24	14259.8803439	14259.8803439
25	14259.8803439	14259.8803439
26	14259.8803439	14259.8803439
27	14259.8803439	14259.8803439
28	14259.8803439	14259.8803439
29	14259.8803439	14259.8803439
30	14259.8803439	14259.8803439
31	14259.8803439	14259.8803439
32	14259.8803439	14259.8803439
33	14259.8803439	14259.8803439
34	14259.8803439	14259.8803439
35	14259.8803439	14259.8803439
36	14259.8803439	14259.8803439
37	14259.8803439	14259.8803439
38	14259.8803439	14259.8803439
39	14259.8803439	14259.8803439
40	14259.8803439	14259.8803439
41	14259.8803439	14259.8803439
42	14259.8803439	14259.8803439
43	14259.8803439	14259.8803439
44	14259.8803439	14259.8803439
45	14259.8803439	14259.8803439
46	14259.8803439	14259.8803439
47	14259.8803439	14259.8803439
48	14259.8803439	14259.8803439
49	14259.8803439	14259.8803439
50	14259.8803439	14259.8803439
51	14259.8803439	14259.8803439
52	14259.8803439	14259.8803439
53	14259.8803439	14259.8803439
54	14259.8803439	14259.8803439
55	14259.8803439	14259.8803439
56	14259.8803439	14259.8803439
57	14259.8803439	14259.8803439
58	14259.8803439	14259.8803439
59	14259.8803439	14259.8803439
60	14259.8803439	14259.8803439
61	14259.8803439	14259.8803439
62	14259.8803439	14259.8803439
63	14259.8803439	14259.8803439
64	14259.8803439	14259.8803439
65	14259.8803439	14259.8803439
66	14259.8803439	14259.8803439
67	14259.8803439	14259.8803439
68	14259.8803439	14259.8803439
69	14259.8803439	14259.8803439
70	14259.8803439	14259.8803439
71	14259.8803439	14259.8803439
72	14259.8803439	14259.8803439
73	14259.8803439	14259.8803439
74	14259.8803439	14259.8803439
75	14259.8803439	14259.8803439
76	14259.8803439	14259.8803439
77	14259.8803439	14259.8803439
78	14259.8803439	14259.8803439
79	14259.8803439	14259.8803439
80	14259.8803439	14259.8803439
81	14259.8803439	14259.8803439
82	14259.8803439	14259.8803439
83	14259.8803439	14259.8803439
84	14259.8803439	14259.8803439
85	14259.8803439	14259.8803439
86	14259.8803439	14259.8803439
87	14259.8803439	14259.8803439
88	14259.8803439	14259.8803439
89	14259.8803439	14259.8803439
90	14259.8803439	14259.8803439
91	14259.8803439	14259.8803439
92	14259.8803439	14259.8803439
93	14259.8803439	14259.8803439
94	14259.8803439	14259.8803439
95	14259.8803439	14259.8803439
96	14259.8803439	14259.8803439
97	14259.8803439	14259.8803439
98	14259.8803439	14259.8803439
99	14259.8803439	14259.8803439
100	14259.8803439	14259.8803439
101	14259.8803439	14259.8803439
102	14259.8803439	14259.8803439
103	14259.8803439	14259.8803439
104	14259.8803439	14259.8803439
105	14259.8803439	14259.8803439
106	14259.8803439	14259.8803439
107	14259.8803439	14259.8803439
108	14259.8803439	14259.8803439
109	14259.8803439	14259.8803439
110	14259.8803439	14259.8803439
111	14259.8803439	14259.8803439
112	14259.8803439	14259.8803439
113	14259.8803439	14259.8803439
114	14259.8803439	14259.8803439
115	14259.8803439	14259.8803439
116	14259.8803439	14259.8803439
117	14259.8803439	14259.8803439
118	14259.8803439	14259.8803439
119	14259.8803439	14259.8803439
120	14259.8803439	14259.8803439
121	14259.8803439	14259.8803439
122	14259.8803439	14259.8803439
123	14259.8803439	14259.8803439
124	14259.8803439	14259.8803439
125	14259.8803439	14259.8803439
126	14259.8803439	14259.8803439
127	14259.8803439	14259.8803439
128	14259.8803439	14259.8803439
129	14259.8803439	14259.8803439
130	14259.8803439	14259.8803439
131	14259.8803439	14259.8803439
132	14259.8803439	14259.8803439
133	14259.8803439	14259.8803439
134	14259.8803439	14259.8803439
135	14259.8803439	14259.8803439
136	14259.8803439	14259.8803439
137	14259.8803439	14259.8803439
138	14259.8803439	14259.8803439
139	14259.8803439	14259.8803439
140	14259.8803439	14259.8803439
141	14259.8803439	14259.8803439
142	14259.8803439	14259.8803439
143	14259.8803439	14259.8803439
144	14259.8803439	14259.8803439
145	14259.8803439	14259.8803439
146	14259.8803439	14259.8803439
147	14259.8803439	14259.8803439
148	14259.8803439	14259.8803439
149	14259.8803439	14259.8803439
Best Order: [51, 46, 14, 29, 22, 1, 15, 5, 42, 43, 45, 11, 50, 10, 12, 13, 26, 27, 25, 49, 19, 20, 16, 30, 21, 44, 40, 7, 35, 47, 23, 36, 39, 33, 34, 31, 18, 2, 6, 41, 28, 48, 38, 4, 37, 3, 24, 32, 9, 8, 17, 0]
Best Distance: 14259.8803439
Mutation Rate: 0.00%	Cross over rate: 100.00%
