Generation No.	Best Distance	Average Distance
0	15266.6938745	24491.3847535
1	13390.5805788	18819.559306
2	12646.7109982	16355.9632201
3	12016.6544741	15911.9468893
4	11182.0099185	15348.0896989
5	11613.3205541	15047.7062223
6	11519.9546447	14931.0088622
7	11290.8734326	14708.0562003
8	11288.6863269	14617.6818993
9	11462.0002474	14581.5558502
10	10188.1293233	14516.3060489
11	11410.5165555	14594.3494793
12	11323.4565846	14570.4930223
13	10865.1504732	14502.6274271
14	10810.9705657	14443.3169978
15	10845.3208818	14557.8349268
16	10503.7902337	14515.254495
17	10728.4543556	14461.8187243
18	11118.9863476	14495.8699543
19	10711.3428326	14530.5580437
20	11032.0996524	14445.7508435
21	10151.2017126	14494.9968857
22	10888.4281615	14563.2486624
23	10319.8846711	14431.3921038
24	11247.8411708	14556.4908438
25	10974.7689178	14609.2571647
26	10475.5941689	14457.9418842
27	10955.6691783	14616.8059592
28	11182.4652285	14711.5528766
29	10209.5153208	14603.3880807
30	10436.5789108	14522.0983406
31	11344.4124481	14461.494648
32	10618.8709952	14619.3802856
33	11176.8209652	14512.283502
34	11298.6953909	14488.5575274
35	10548.8788919	14491.4508598
36	10505.9148595	14543.0511084
37	11033.1454366	14434.7967529
38	10802.4116523	14502.2028394
39	11144.3787644	14441.2482002
40	10946.0832534	14438.5083013
41	10496.6695917	14416.6726447
42	10601.4440588	14430.9447434
43	10498.5951044	14439.915954
44	11131.8062444	14485.3674848
45	9802.1612808	14410.3836428
46	9688.9235484	14299.8265935
47	10494.2297528	14343.754172
48	10172.2328825	14421.7457238
49	10406.7265491	14339.0478771
50	10974.4526609	14451.7281223
51	10507.4775259	14397.7443509
52	10983.5918115	14389.9707036
53	11019.7282504	14444.4783722
54	10871.9048023	14415.5415211
55	10108.4015938	14384.7333658
56	10625.1741141	14329.2047232
57	9914.13011407	14381.2571625
58	10065.9963611	14361.9642643
59	10571.2182478	14395.6213884
60	10783.5365584	14396.2812638
61	10949.4375409	14509.2059534
62	10384.1615444	14423.9059413
63	10689.3738696	14460.0190753
64	10783.3716503	14431.1438547
65	10134.4751144	14436.4661091
66	10221.0122506	14403.4249544
67	10589.5436935	14388.2344464
68	10779.3693376	14459.4395564
69	10380.5549316	14376.5529638
70	10803.5309271	14439.2058561
71	10296.1986323	14458.4075913
72	10337.2763254	14418.9490352
73	10462.406338	14387.2019802
74	10169.5304583	14432.614469
75	10418.8334412	14435.6283741
76	10839.7383697	14451.3463286
77	11259.9577638	14437.9041997
78	10806.7013496	14519.1970917
79	10674.5546114	14360.0790634
80	10349.4003121	14400.9942641
81	10214.5756395	14431.1458557
82	10712.8480548	14305.8401894
83	10766.0210468	14429.5968298
84	10196.731749	14428.6544723
85	10495.4966616	14343.2812941
86	10623.5583041	14278.5096834
87	10725.9719993	14352.6618962
88	10652.1902774	14389.7678771
89	10884.7174914	14404.9153937
90	10463.5296246	14359.7714843
91	10761.1688782	14403.2622573
92	11085.6410476	14406.2734084
93	10438.5079115	14450.0853929
94	10307.8496215	14431.2388289
95	10979.0540845	14472.7505077
96	10774.8305534	14447.9970249
97	10940.9118837	14453.527165
98	10316.2792152	14457.8574293
99	10281.7737489	14407.6651243
100	10151.7910149	14461.3883867
101	10529.0999685	14311.3992031
102	11366.8106138	14341.2371603
103	10211.5823235	14455.3711905
104	10525.5975117	14347.1846323
105	10861.6937664	14444.2895272
106	10130.7336914	14449.2889308
107	10776.4501748	14382.4168201
108	10384.8133058	14329.9257747
109	10687.0641615	14396.7543973
110	10731.1519857	14422.7919019
111	9921.95646162	14399.7955345
112	10807.5735005	14324.5924282
113	10188.6707397	14403.729424
114	9936.57691653	14415.255628
115	10719.4673459	14370.3817032
116	10045.7877447	14389.9621449
117	10615.4739896	14506.8950429
118	10929.2512465	14452.5373792
119	10351.0573791	14424.9283939
120	11145.8514801	14376.7426403
121	11096.1333897	14452.1867152
122	11156.9770513	14461.9756966
123	10432.1309628	14452.9234122
124	10597.0123808	14344.8447379
125	10403.5794419	14303.5992569
126	9966.51971	14274.3594757
127	10923.1794103	14378.5226646
128	11072.8170267	14385.549612
129	10245.7360682	14474.9313473
130	10701.2697271	14457.5918786
131	10301.6593741	14314.1984896
132	10201.1595022	14383.6056426
133	10570.3719769	14411.4960838
134	10441.9997984	14429.2696263
135	10687.1756366	14459.8378152
136	10537.2191857	14447.4966979
137	10474.4200888	14561.7841701
138	10876.5389956	14465.5258458
139	10030.2946014	14433.3645063
140	10547.464082	14465.9716229
141	10764.6291777	14428.7846896
142	10148.926325	14358.1770714
143	10378.9033934	14352.234022
144	9706.00931317	14350.2289078
145	10428.0455156	14427.3504581
146	10235.1906255	14330.3202035
147	10558.5750273	14439.3223131
148	10599.9182507	14343.057823
149	10035.6684993	14321.2246569
Best Order: [26, 46, 11, 24, 14, 38, 18, 15, 17, 44, 31, 3, 19, 29, 1, 41, 2, 30, 22, 20, 40, 49, 16, 48, 21, 4, 43, 35, 47, 36, 23, 37, 39, 5, 34, 33, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Best Distance: 9688.9235484
Mutation Rate: 50.00%	Cross over rate: 50.00%
