Generation No.	Best Distance	Average Distance
0	13769.4615516	20348.3300417
1	12787.8029994	17276.9951961
2	12379.8372827	16089.2214212
3	11455.776276	15410.4847268
4	10708.0117365	14928.3964847
5	10450.6255985	14525.796467
6	9574.58851289	13190.1313481
7	9574.58851289	12353.641392
8	9559.87310631	12170.1343667
9	9362.86449423	12027.4332618
10	9066.69954941	11902.2380805
11	8661.68066326	11803.2795015
12	8609.56972507	11629.4538662
13	8459.79327153	11437.6200718
14	8253.37039579	10968.6852481
15	8134.12008623	10709.0239132
16	7945.25027163	10637.5470197
17	7659.29788407	10558.6548546
18	7581.81260274	10550.2983194
19	7623.58980947	10514.3651217
20	7519.65041277	10361.3984801
21	7452.08265914	10131.2294041
22	7156.39285107	10025.3762206
23	7128.56593201	9952.71750063
24	7001.54762105	9930.11653785
25	7001.54762105	9750.69328041
26	6946.90619692	9746.21572664
27	6927.70720619	9669.16723682
28	6923.83398675	9570.82381563
29	6915.42855745	9716.29517158
30	6902.98443578	9628.59211856
31	6836.35940852	9544.95005249
32	6757.02181258	9479.53798523
33	6734.76174047	9502.21227814
34	6663.70691133	9495.49318802
35	6570.90862143	9412.69910239
36	6570.90862143	9324.64624156
37	6570.90862143	9330.35113168
38	6568.38325459	9221.48939249
39	6568.38325459	9247.60689579
40	6538.34147526	9322.79052777
41	6538.34147526	9375.21267271
42	6500.18918821	9351.23234025
43	6500.18918821	9477.81096012
44	6500.18918821	9482.51611073
45	6500.18918821	9418.87742075
46	6500.18918821	9168.72562943
47	6500.18918821	9133.75092883
48	6500.18918821	9266.62470794
49	6500.18918821	9215.98589571
50	6500.18918821	9215.15506438
51	6500.18918821	9238.50465104
52	6500.18918821	9206.060102
53	6500.18918821	9162.27646319
54	6500.18918821	9249.31762156
55	6500.18918821	9185.21774628
56	6500.18918821	9184.54738827
57	6500.18918821	9051.98774704
58	6500.18918821	9258.23664244
59	6500.18918821	9123.13271284
60	6500.18918821	9167.56536778
61	6500.18918821	9171.50257609
62	6500.18918821	9195.06604806
63	6500.18918821	9109.31279972
64	6500.18918821	9275.24807154
65	6500.18918821	9289.71116219
66	6500.18918821	9171.11589792
67	6500.18918821	9117.67000444
68	6500.18918821	9260.14185145
69	6500.18918821	9242.30814917
70	6500.18918821	9186.25626127
71	6500.18918821	9186.09173237
72	6500.18918821	9224.37769152
73	6500.18918821	9274.30751922
74	6500.18918821	9212.40091034
75	6500.18918821	9161.45386208
76	6500.18918821	9197.95723234
77	6500.18918821	9213.05304633
78	6500.18918821	9245.46940897
79	6500.18918821	9145.3310927
80	6500.18918821	9170.09408771
81	6500.18918821	9173.62263202
82	6500.18918821	9194.22978876
83	6500.18918821	9087.85354276
84	6500.18918821	9219.97028373
85	6500.18918821	9227.33112729
86	6500.18918821	9151.4841304
87	6500.18918821	9235.8701575
88	6500.18918821	9241.71561181
89	6500.18918821	9263.9244454
90	6500.18918821	9191.75018826
91	6500.18918821	9322.42185729
92	6500.18918821	9128.93914365
93	6500.18918821	9055.28691616
94	6500.18918821	9165.34775632
95	6500.18918821	9159.45430495
96	6500.18918821	9187.95342155
97	6500.18918821	9156.20004662
98	6500.18918821	9155.33261204
99	6500.18918821	9104.68711217
100	6500.18918821	9149.22997884
101	6500.18918821	9201.15193056
102	6500.18918821	9216.5982372
103	6500.18918821	9294.80821199
104	6500.18918821	9145.91341705
105	6500.18918821	9191.16249784
106	6500.18918821	9231.36828096
107	6500.18918821	9147.01182808
108	6500.18918821	9290.06178259
109	6500.18918821	9237.73876848
110	6500.18918821	9084.75200713
111	6500.18918821	9163.76373617
112	6500.18918821	9159.04614553
113	6500.18918821	9294.26191761
114	6500.18918821	9187.19654798
115	6500.18918821	9148.27052813
116	6500.18918821	9245.08399707
117	6500.18918821	9186.82471673
118	6500.18918821	9279.56764396
119	6500.18918821	9226.70065687
120	6500.18918821	9192.64970348
121	6500.18918821	9169.99136166
122	6500.18918821	9115.71334955
123	6500.18918821	9071.28850227
124	6500.18918821	9165.33016552
125	6500.18918821	9223.31036991
126	6500.18918821	9174.70283476
127	6500.18918821	9158.35289221
128	6500.18918821	9265.42980153
129	6500.18918821	9174.33808061
130	6500.18918821	9159.90221821
131	6500.18918821	9203.87869069
132	6500.18918821	9150.74380465
133	6500.18918821	9136.19577138
134	6500.18918821	9261.11391138
135	6500.18918821	9167.19843057
136	6500.18918821	9163.06367153
137	6500.18918821	9215.82762028
138	6500.18918821	9176.86147592
139	6500.18918821	9214.44962792
140	6500.18918821	9270.49506241
141	6500.18918821	9245.45424691
142	6500.18918821	9160.00750735
143	6500.18918821	9149.56413681
144	6500.18918821	9239.43408973
145	6500.18918821	9268.1290185
146	6500.18918821	9155.87958119
147	6500.18918821	9178.54464694
148	6500.18918821	9338.4343506
149	6468.72961551	9148.94078217
Best Order: [50, 13, 46, 49, 19, 22, 29, 1, 20, 16, 2, 18, 44, 37, 47, 45, 43, 33, 34, 35, 48, 21, 17, 40, 7, 8, 9, 42, 3, 24, 5, 14, 4, 23, 36, 39, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Best Distance: 6468.72961551
Mutation Rate: 10.00%	Cross over rate: 90.00%
